,attr5,attr29,attr31,attr38,attr42,attr46,attr48,attr53,attr58,attr59,attr62,attr63,attr64,attr70,attr77,attr81,attr82,attr87,attr88,attr96,attr101,attr102,attr104,attr106,attr110,attr112,attr113,attr114,attr117,attr118,attr119,attr130,attr131,attr133,attr135,attr137,attr138,attr143,attr144,attr146,attr147,attr148,attr152,attr154,attr156,attr158,attr159,attr161,attr162,attr163,attr165,attr168,attr170,attr171,attr172,attr173,attr174,attr175,attr183,attr188,attr190,attr191,attr196,attr197,attr198,attr208,attr209,attr211,attr213,attr214,attr219,attr226,attr227,attr230,attr231,attr233,attr234,attr241,attr242,attr244,attr247,attr252,attr253,attr255,attr257,attr258,attr260,attr263,attr264,attr268,attr271,attr272,attr282,attr285,attr289,attr291,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
10,0.654218,0.098745,0.589476,0.644109,0.1136,0.506749,0.624757,0.008704,0.004138,0.004058,0.00351,0.003719,0.307598,0.167699,0.756175,0.612925,0.350492,0.762819,1.0,0.891956,0.137682,0.13917,0.138333,0.168704,0.179328,0.175597,0.235645,0.247737,0.308944,0.356289,0.336831,0.19406,0.173402,0.25345,0.336344,0.32834,0.323477,0.313326,0.360364,0.374321,0.318567,0.000308,0.000265,0.000209,0.001917,0.001514,0.001694,0.00267,0.008068,0.01043,0.020921,0.011182,0.069071,0.057071,0.014602,0.007127,0.010479,0.021423,0.012398,0.112323,0.000588,0.005095,0.013734,0.180623,0.193919,0.271281,0.263922,0.325505,0.361749,0.393765,0.353753,0.445988,0.335044,0.362833,0.457237,0.581376,0.520833,0.541857,0.600756,0.640689,0.008134,0.011718,0.007828,0.008466,0.00621,0.008074,0.037593,0.076854,0.198914,0.270779,0.065517,0.079846,0.206384,0.474307,0.034962,0.066941,0.057397,1,0,0,0,0,0
11,0.584367,0.475972,0.586567,0.673179,0.729812,0.643303,0.664244,0.003787,0.217581,0.099062,0.001337,0.001677,0.360171,0.55341,0.212676,0.599066,1.0,0.001988,0.100087,0.003844,0.157901,0.175446,0.198861,0.382922,0.213992,0.220254,0.376317,0.382771,0.286852,0.252407,0.249506,0.355583,0.321598,0.338567,0.38454,0.361523,0.353669,0.392462,0.370473,0.340117,0.346708,0.009837,0.000466,0.001655,0.023251,0.016091,0.000719,0.000481,0.007179,0.042602,0.020917,0.007245,0.006355,0.023024,0.00228,0.006422,0.011223,0.013458,0.002376,0.000957,0.000769,0.000703,0.000473,0.565687,0.550177,0.255055,0.272399,0.61876,0.685621,0.578435,0.607913,0.605755,0.598307,0.480475,0.50577,0.650206,0.651883,0.645162,0.637111,0.554135,0.223556,0.001574,0.027128,0.534607,0.001348,0.002296,0.036534,0.150111,0.272995,0.050924,0.014514,0.099814,0.003344,0.02244,0.001173,0.001753,0.062658,1,0,0,0,1,0
12,0.804383,0.626259,0.570834,0.684112,0.808328,0.806711,0.84098,0.01891,0.004422,0.004072,0.645236,0.175829,0.325722,0.455297,0.796139,0.046661,0.292455,0.336041,0.250936,0.174288,0.229099,0.18986,0.181782,0.238372,0.197456,0.251293,0.34478,0.325409,0.313564,0.327163,0.278721,0.216625,0.208351,0.351572,0.161523,0.28652,0.345583,0.365262,0.368029,0.380727,0.376101,0.033226,0.001452,0.000733,0.003312,0.000489,0.002612,0.010534,0.005607,0.011721,0.016195,0.024607,0.041366,0.038597,0.015925,0.017134,0.017087,0.022927,0.070133,0.001011,0.007841,0.001859,0.004477,0.347359,0.361943,0.370226,0.530717,0.560318,0.528929,0.569399,0.480688,0.368528,0.380685,0.612444,0.600378,0.378908,0.444536,0.677627,0.66195,0.638194,0.115117,0.006318,0.012503,0.008169,0.028202,0.341694,0.069979,0.306968,0.217061,0.1645,0.07628,0.071308,0.206141,0.212808,0.138656,0.089166,0.078818,1,0,0,0,0,0
13,0.416746,0.604854,0.645896,0.698317,0.759557,0.872633,0.878915,0.004386,0.00601,0.022769,0.008219,0.060662,0.01155,0.134308,0.184813,0.410778,0.383699,0.181324,0.505778,0.01549,0.0,0.0,0.067209,0.0,0.0,0.024608,0.0,0.0,0.0,0.01611,0.03704,0.204652,0.245473,0.0,0.0,0.149311,0.035114,0.121341,0.208447,0.309758,0.299853,0.003843,0.004567,0.012802,0.003873,0.004914,0.002736,0.019135,0.010104,0.006892,0.013038,0.066575,0.027319,0.035574,0.02833,0.057279,0.081694,0.16258,0.013461,0.061101,0.010785,0.020146,0.001557,0.0,0.0,0.0,0.0,0.007525,0.0,0.0,0.116257,0.280387,0.375466,0.55006,0.581641,0.399642,0.468239,0.456629,0.44146,0.447169,0.021238,0.004525,0.035356,0.064182,0.00625,0.007759,0.041807,0.103856,0.501213,0.042198,0.492676,0.262449,0.016506,0.02389,0.003769,0.011945,0.019112,1,0,0,0,0,0
14,0.83348,0.584277,0.704618,0.498606,0.560608,0.678801,0.578288,0.00037,0.245346,0.214579,0.149282,0.148201,0.039405,0.323329,0.312169,0.302308,0.279706,0.322517,0.532803,0.072491,0.291228,0.296433,0.295995,0.262661,0.302593,0.312661,0.282318,0.28535,0.318477,0.33439,0.352764,0.450199,0.453244,0.466228,0.386742,0.330754,0.340864,0.380569,0.381529,0.373093,0.367888,0.000207,0.000711,0.000161,0.004764,0.004043,0.003812,0.010758,0.001394,0.001625,0.002819,0.00823,0.107955,0.057808,0.034726,0.163993,0.407576,0.348171,0.000919,0.065518,0.000498,0.000699,0.004131,0.180444,0.198504,0.417628,0.456991,0.395218,0.317208,0.343141,0.460771,0.612889,0.705884,0.663446,0.634024,0.690016,0.614343,0.702563,0.707875,0.661959,0.001489,0.002331,0.117123,0.1035,0.147039,0.202481,0.017777,0.102731,0.140425,0.481843,0.12299,0.155323,0.069264,0.521537,0.004328,0.004638,0.126349,1,0,0,0,0,0
15,0.761781,0.506795,0.78844,0.801826,0.847675,0.722383,0.817123,0.107942,0.173658,0.146126,0.104923,0.131626,0.185168,0.005016,0.052242,0.024784,0.01011,0.028734,0.01515,0.124063,0.245041,0.258326,0.260741,0.273601,0.171879,0.249198,0.141838,0.121962,0.091811,0.084733,0.10535,0.0,0.0,0.0,0.366283,0.076235,0.045487,0.129691,0.14227,0.106091,0.070069,0.054534,0.048294,0.055355,0.150171,0.08209,0.099214,0.129869,0.097299,0.056047,0.005223,0.0015,0.154108,0.199944,0.178229,0.146116,0.106936,0.040974,0.067236,0.016022,0.0649,0.151012,0.005256,0.217156,0.278292,0.0,0.056249,0.536813,0.0,0.0,0.388509,0.727288,0.518026,0.401335,0.355464,0.753098,0.582584,0.959284,0.826411,0.594617,0.256606,0.105078,1.0,1.0,1.0,1.0,1.0,0.063224,0.215156,1.0,0.597829,0.462685,0.443839,0.003967,0.266529,0.52344,0.007965,1,0,0,0,1,0
16,0.853214,0.744998,0.949637,0.886018,0.613764,0.57446,0.595183,0.084459,0.111686,0.167265,0.216549,0.125737,0.447913,0.213045,0.188712,0.001224,0.001103,0.129918,0.314061,0.367443,0.276104,0.25308,0.268491,0.384794,0.561927,0.432469,0.290837,0.363381,0.411289,0.409396,0.434012,0.321722,0.348354,0.385947,0.335021,0.401612,0.37749,0.473573,0.519781,0.359438,0.314198,0.025915,0.010845,0.066847,0.117834,0.20154,0.096163,0.055226,0.367481,0.523286,0.185445,0.08912,0.029518,0.06982,0.022962,0.049148,0.016751,0.028377,0.18689,0.064208,0.449233,0.381704,0.086131,0.243302,0.282318,0.511306,0.601203,0.261541,0.556148,0.676742,0.393888,0.446726,0.478485,0.703111,0.938484,0.641047,0.602959,0.875749,0.877348,0.947509,0.027078,0.104015,1.0,0.663773,0.08738,0.301879,0.861969,0.208927,0.147707,0.012799,0.48365,0.173419,0.145193,0.605465,0.273447,0.218255,0.252017,1,0,0,0,1,0
17,0.567649,0.551236,0.783455,0.61555,0.4305,0.415778,0.423765,0.045521,0.013386,0.01036,0.058064,0.037234,0.385175,0.047925,0.106901,0.004849,0.007763,0.279538,0.395886,0.398778,0.062298,0.058333,0.040988,0.095967,0.055377,0.108354,0.280165,0.303635,0.429143,0.426433,0.446674,0.056084,0.330261,0.415267,0.143868,0.381742,0.36463,0.527579,0.597071,0.485295,0.575151,0.013579,0.003079,0.002223,0.001816,0.003822,0.002879,0.019327,0.08712,0.106449,0.049487,0.01011,0.109619,0.190924,0.177453,0.009572,0.017225,0.013909,0.314198,0.055259,0.223032,0.07823,0.11332,0.0,0.0,0.097725,0.134449,0.045256,0.330605,0.454811,0.200763,0.290403,0.40601,0.815788,0.844091,0.700394,0.858662,0.835123,0.801049,0.794585,0.049434,0.091522,0.054269,0.055375,0.072933,0.103397,0.408937,0.736352,0.412969,0.108307,0.384951,0.113568,0.626667,0.374225,0.137096,0.17898,0.163273,1,0,0,0,0,0
18,0.605708,0.738169,0.746757,0.762488,0.586498,0.672249,0.588764,0.369714,0.372246,0.448687,0.130425,0.00436,0.892408,0.826484,0.215446,0.548793,0.490758,0.002656,0.005835,0.013857,0.221454,0.233752,0.117064,0.25751,0.30072,0.297305,0.281701,0.235857,0.237984,0.170075,0.208032,0.343285,0.262743,0.155295,0.033868,0.0,0.0,0.0,0.0,0.0,0.0,0.024107,0.059118,0.029582,0.004293,0.011014,0.016792,0.001949,0.033175,0.024064,0.029019,0.059403,0.11592,0.095814,0.19537,0.066981,0.07781,0.025756,0.047433,0.014289,0.007724,0.011808,0.025736,0.089182,0.0,0.398115,0.394905,0.354457,0.252684,0.069176,0.562042,0.60921,0.621075,0.561013,0.612073,0.72958,0.700606,0.649289,0.608148,0.509472,0.132397,0.432981,0.176299,0.395717,0.230777,0.203825,0.346715,0.270462,0.341208,0.443516,0.640291,0.682024,0.009473,0.011099,0.006961,0.006462,0.004161,1,0,0,0,0,0
19,0.864978,0.503599,0.726119,0.563295,0.472406,0.410785,0.471274,0.020157,0.106094,0.129968,0.177466,0.229881,0.23969,0.204717,0.260763,0.117944,0.337307,0.216152,0.304699,0.329926,0.096632,0.122565,0.107112,0.292078,0.439623,0.386941,0.438073,0.559781,0.488669,0.463971,0.462812,0.304609,0.438409,0.430521,0.11155,0.333903,0.410295,0.354883,0.423361,0.581084,0.459431,0.001505,0.002148,0.000559,0.148939,0.032834,0.075824,0.103031,0.235147,0.043764,0.022847,0.015549,0.118365,0.049447,0.021744,0.035422,0.045823,0.015823,0.107475,0.129174,0.306398,0.064409,0.073229,0.174964,0.229167,0.527554,0.552335,0.390354,0.646404,0.679001,0.603205,0.221428,0.410617,0.796274,0.834709,0.205526,0.448716,0.805354,0.785662,0.764907,0.006195,0.003326,0.169792,0.750331,0.156639,0.109018,1.0,0.051271,0.054089,0.066638,0.083322,0.089757,0.448691,0.234834,0.249246,0.176449,0.175853,1,0,0,0,0,0
20,0.089302,0.873863,0.847298,0.94018,0.853893,0.563315,0.775934,0.408565,0.235338,0.19564,0.28263,0.152046,0.175871,0.183364,0.052118,0.128157,0.134264,0.031108,0.038214,0.591991,0.328477,0.224184,0.319115,0.155652,0.213615,0.272078,0.18393,0.279643,0.246722,0.251036,0.188066,0.092099,0.074637,0.115055,0.319239,0.301564,0.300089,0.423265,0.412977,0.378004,0.364252,0.066747,0.018701,0.008306,0.054783,0.056383,0.026962,0.015577,0.050382,0.085774,0.074362,0.023177,0.130938,0.023806,0.060644,0.057178,0.013614,0.013139,0.01867,0.062179,0.008621,0.00592,0.002774,0.353921,0.0,0.816056,0.470265,0.687355,0.358327,0.641897,0.405093,0.404511,0.402196,0.301161,0.258476,0.544462,0.5573,0.508588,0.546576,0.673119,0.956007,0.126646,0.353826,1.0,0.610607,1.0,0.807774,0.626288,1.0,0.454419,0.274435,0.085474,0.07875,0.110789,0.211187,0.19383,0.073152,1,0,0,0,0,0
21,0.539963,0.586891,0.84265,0.89358,0.419659,0.569989,0.726879,0.015734,0.044514,0.033868,0.025128,0.012743,0.144771,0.231034,0.198797,0.046743,0.008725,0.043973,0.166548,0.215761,0.103148,0.077401,0.142373,0.222538,0.094541,0.158525,0.469314,0.338615,0.268148,0.271481,0.262236,0.29653,0.06238,0.084938,0.374746,0.384472,0.323093,0.526632,0.635295,0.315508,0.407257,0.009191,0.003261,0.002372,0.01096,0.000628,0.002695,0.001136,0.129239,0.153,0.144038,0.12091,0.013104,0.023947,0.164938,0.357341,0.471879,0.563583,0.006333,0.058444,0.0338,0.069087,0.013757,0.0,0.0,0.0,0.008141,0.624922,0.43296,0.367608,0.709239,0.641148,0.647488,0.470511,0.373513,0.665146,0.598285,0.569635,0.635679,0.666119,0.084289,0.020478,0.173151,0.130571,0.045684,0.076532,0.936023,1.0,1.0,0.129688,0.474766,0.505665,0.073487,0.029938,0.225616,0.388348,0.009599,1,0,0,0,0,0
22,0.795173,0.619126,0.601386,0.778836,0.792555,0.804823,0.792748,0.001017,0.000565,0.000761,0.065138,0.102974,1.6e-05,0.218602,0.46835,0.585918,0.314749,0.055297,0.082795,0.010206,0.10323,0.096543,0.088169,0.126303,0.125247,0.172421,0.159554,0.164959,0.33869,0.358169,0.346214,0.197853,0.260178,0.376584,0.25203,0.306927,0.317263,0.301289,0.304925,0.303944,0.297682,0.000359,0.000492,0.00089,0.000608,0.000726,0.002976,0.044481,0.001415,0.001875,0.049094,0.001332,0.011105,0.002096,0.003971,0.009432,0.012031,0.021531,0.04622,0.048655,0.000846,0.001069,0.000245,0.313864,0.302849,0.312299,0.355195,0.359814,0.398182,0.517434,0.600868,0.387234,0.449823,0.659353,0.62037,0.539855,0.559872,0.598285,0.626465,0.704363,0.000616,0.002159,0.002568,0.001711,0.013859,0.137186,0.001586,0.469257,0.22749,0.135512,0.082192,0.10704,0.075868,0.020444,0.005959,0.018572,0.002759,1,0,0,0,0,0
23,0.742341,0.425623,0.578763,0.42238,0.634294,0.560619,0.41197,0.00139,0.001891,0.001701,0.005169,0.013092,0.114586,0.134967,0.1471,0.334198,0.207527,0.337924,0.291348,0.641243,0.260316,0.263025,0.253285,0.204383,0.205473,0.204733,0.309726,0.308567,0.251097,0.237942,0.233546,0.335295,0.315123,0.437407,0.211427,0.206914,0.20596,0.238793,0.342819,0.251104,0.267908,0.00132,0.000489,0.000437,0.000426,0.000579,0.000545,0.00077,0.01042,0.011778,0.017702,0.010104,0.005811,0.002625,0.001563,0.001241,0.048474,0.00715,0.023048,0.039348,0.015304,0.015593,0.029558,0.191761,0.22986,0.201053,0.179437,0.404041,0.36876,0.351371,0.449868,0.418713,0.410639,0.404176,0.465815,0.694579,0.69866,0.663211,0.592581,0.628187,0.003487,0.009384,0.009154,0.002976,0.002048,0.003893,0.082106,0.086899,0.09188,0.113244,0.00606,0.020576,0.474739,0.158548,0.041719,0.041683,0.14623,1,0,0,0,0,0
24,0.808325,0.495341,0.689438,0.715298,0.788633,0.824873,0.810998,0.001128,0.000342,0.000286,0.00066,0.001057,0.090962,0.015884,0.037039,0.009813,0.016066,0.598124,0.039584,0.043629,0.277812,0.277977,0.267949,0.277428,0.276001,0.255117,0.300274,0.313717,0.260809,0.244952,0.23085,0.383409,0.382112,0.362209,0.344863,0.388608,0.391934,0.354005,0.389863,0.390645,0.370089,0.000192,0.000214,0.000557,0.000288,0.000198,0.000256,0.000668,0.00399,0.005942,0.008114,0.00909,0.0036,0.004287,0.000788,0.000506,0.000524,0.003782,0.03443,0.004308,0.006945,0.013599,0.001178,0.275888,0.279265,0.281692,0.275038,0.403247,0.402207,0.357208,0.508119,0.554348,0.588723,0.5886,0.591966,0.550803,0.611637,0.643507,0.65422,0.635937,0.000834,0.00157,0.001514,0.001371,0.000259,0.002081,0.070682,0.083666,0.083109,0.023527,0.00546,0.007514,0.033154,0.007667,0.057352,0.004068,0.009132,1,0,0,0,0,0
25,0.806768,0.685387,0.777596,0.839708,0.85624,0.859435,0.835396,0.011028,0.128997,0.45067,0.538532,0.270155,0.17995,0.132095,0.03577,0.081249,0.057552,0.080702,0.027417,0.106585,0.185096,0.182291,0.213813,0.13046,0.432044,0.513045,0.276619,0.34692,0.45655,0.510734,0.614897,0.490329,0.480316,0.527716,0.490521,0.493608,0.483663,0.512497,0.473704,0.502963,0.513203,0.002422,0.013876,0.005825,0.02158,0.171529,0.127735,0.195999,0.14991,0.142031,0.138621,0.074263,0.007298,0.011553,0.060302,0.061494,0.032223,0.003637,0.001447,0.012131,0.010953,0.008715,0.001329,0.301507,0.312478,0.420312,0.468599,0.279791,0.360675,0.401928,0.253903,0.483483,0.545514,0.61583,0.602903,0.594605,0.617687,0.611491,0.599358,0.579095,0.018331,0.069347,0.058213,0.233497,0.265494,0.256615,0.284694,0.293044,0.286638,0.048161,0.318371,0.219487,0.00505,0.005394,0.012935,0.003398,0.018594,1,0,0,0,0,0
