,attr8,attr12,attr13,attr16,attr21,attr27,attr29,attr33,attr34,attr37,attr38,attr41,attr42,attr43,attr47,attr49,attr50,attr53,attr58,attr60,attr65,attr67,attr71,attr72,attr73,attr74,attr81,attr84,attr86,attr88,attr94,attr95,attr97,attr104,attr105,attr106,attr108,attr110,attr111,attr114,attr115,attr116,attr120,attr124,attr127,attr130,attr132,attr134,attr135,attr137,attr148,attr151,attr153,attr155,attr157,attr160,attr163,attr164,attr165,attr166,attr171,attr176,attr194,attr196,attr197,attr198,attr200,attr203,attr216,attr220,attr224,attr226,attr227,attr231,attr232,attr233,attr234,attr235,attr237,attr240,attr243,attr245,attr247,attr249,attr251,attr255,attr261,attr264,attr265,attr266,attr271,attr277,attr280,attr281,attr282,attr283,attr284,attr285,attr286,attr287,attr288,attr289,attr290,attr291,attr292,attr293,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
10,0.709978,0.742957,0.728673,0.627168,0.327273,0.594928,0.098745,0.669278,0.682204,0.467678,0.644109,0.763893,0.1136,0.0,0.685801,0.095599,0.009552,0.008704,0.004138,0.00364,0.33713,0.197006,0.761856,0.216686,0.153497,0.175284,0.612925,1.0,1.0,1.0,0.412368,1.0,0.707102,0.138333,0.143567,0.168704,0.180638,0.179328,0.176797,0.247737,0.269026,0.269143,0.304012,0.360391,0.299568,0.19406,0.175302,0.31915,0.336344,0.32834,0.000308,0.000262,0.000452,0.002149,0.001797,0.001643,0.01043,0.017523,0.020921,0.033542,0.057071,0.026344,0.008816,0.013734,0.180623,0.193919,0.199398,0.162809,0.492564,0.440027,0.572878,0.445988,0.335044,0.457237,0.522365,0.581376,0.520833,0.549148,0.56165,0.517691,0.628836,0.559302,0.008134,0.010108,0.011508,0.008466,0.030952,0.198914,0.089036,0.047182,0.065517,0.158307,0.125257,0.116349,0.206384,0.454125,0.271166,0.474307,0.162633,0.085384,0.001416,0.034962,0.058742,0.066941,0.069697,0.057397,0.043405,1,0,0,0,0,0
11,0.642719,0.633352,0.657658,0.645124,0.505587,0.354527,0.475972,0.485181,0.365105,0.678542,0.673179,0.855398,0.729812,0.625418,0.592737,0.832642,0.446899,0.003787,0.217581,0.014968,0.338431,0.121821,0.496605,0.269055,0.238857,0.205534,0.599066,0.440826,0.005254,0.100087,0.000655,0.002929,0.240826,0.198861,0.191502,0.382922,0.304801,0.213992,0.227778,0.382771,0.331975,0.391372,0.358066,0.341509,0.349842,0.355583,0.315123,0.371166,0.38454,0.361523,0.009837,0.000456,0.000904,0.003797,0.050114,0.000404,0.042602,0.063772,0.020917,0.029332,0.023024,0.010234,0.000861,0.000473,0.565687,0.550177,0.25227,0.270297,0.292148,0.612554,0.485038,0.605755,0.598307,0.50577,0.614488,0.650206,0.651883,0.605833,0.452418,0.651973,0.621533,0.450472,0.223556,0.001843,0.001077,0.534607,0.084581,0.272995,0.020585,0.228033,0.014514,0.020277,0.056067,0.023722,0.003344,0.001766,0.040065,0.02244,0.006482,0.046696,0.002164,0.001173,0.002225,0.001753,0.006035,0.062658,0.033016,1,0,0,0,1,0
12,0.847646,0.851102,0.57002,0.716874,0.465844,0.519986,0.626259,0.450186,0.576113,0.587711,0.684112,0.757857,0.808328,0.628461,0.836731,0.869134,0.951331,0.01891,0.004422,0.002108,0.522042,0.364747,0.393771,0.623567,0.790576,0.585579,0.046661,0.257443,0.358845,0.250936,0.317479,0.22626,0.18916,0.181782,0.175528,0.238372,0.204878,0.197456,0.193599,0.325409,0.303529,0.291468,0.223487,0.319085,0.183613,0.216625,0.279846,0.193585,0.161523,0.28652,0.033226,0.001918,0.000925,0.008561,0.002186,0.035918,0.011721,0.012923,0.016195,0.026258,0.038597,0.011147,0.002057,0.004477,0.347359,0.361943,0.321324,0.296395,0.741785,0.509126,0.597632,0.368528,0.380685,0.600378,0.378224,0.378908,0.444536,0.51815,0.64977,0.66228,0.644768,0.616933,0.115117,0.005323,0.005791,0.008169,0.134983,0.217061,0.098306,0.108198,0.07628,0.074333,0.037947,0.364724,0.206141,0.22788,0.291247,0.212808,0.102724,0.072871,0.153352,0.138656,0.108324,0.089166,0.075736,0.078818,0.115966,1,0,0,0,0,0
13,0.488999,0.459068,0.427573,0.560597,0.309745,0.362919,0.604854,0.538592,0.58383,0.742045,0.698317,0.776209,0.759557,0.700022,0.895288,0.809667,0.006974,0.004386,0.00601,0.02327,0.020376,0.030498,0.003817,0.009361,0.013337,0.084739,0.410778,0.31348,0.006316,0.505778,0.020771,0.032711,0.030224,0.067209,0.140681,0.0,0.0,0.0,0.015326,0.0,0.0,0.0,0.0,0.126674,0.0,0.204652,0.125538,0.0,0.0,0.149311,0.003843,0.002769,0.011894,0.00707,0.006015,0.004212,0.006892,0.009597,0.013038,0.01446,0.035574,0.055185,0.013306,0.001557,0.0,0.0,0.0,0.0,0.478559,0.160858,0.724044,0.280387,0.375466,0.581641,0.36671,0.399642,0.468239,0.496476,0.480662,0.459448,0.425346,0.473567,0.021238,0.01059,0.009304,0.064182,0.073947,0.501213,1.0,0.29355,0.492676,0.227895,0.227368,0.016376,0.016506,0.014639,0.042678,0.02389,0.00952,0.026791,0.007639,0.003769,0.006688,0.011945,0.008513,0.019112,0.031256,1,0,0,0,0,0
14,0.627666,0.648529,0.64595,0.519823,0.72713,0.744785,0.584277,0.728188,0.682524,0.618754,0.498606,0.561049,0.560608,0.613757,0.651935,0.566978,0.000369,0.00037,0.245346,0.167184,0.016087,0.167498,0.326296,0.106561,0.069646,0.132285,0.302308,0.362309,0.157808,0.532803,0.010086,0.011021,0.237422,0.295995,0.291708,0.262661,0.282064,0.302593,0.308114,0.28535,0.29406,0.319787,0.407236,0.437984,0.356262,0.450199,0.427723,0.376667,0.386742,0.330754,0.000207,0.000212,0.000265,0.007301,0.004658,0.008301,0.001625,0.001365,0.002819,0.003223,0.057808,0.004209,0.001047,0.004131,0.180444,0.198504,0.227154,0.240707,0.425434,0.48213,0.502237,0.612889,0.705884,0.634024,0.694288,0.690016,0.614343,0.615238,0.632671,0.699521,0.700606,0.637223,0.001489,0.002015,0.00133,0.1035,0.022246,0.140425,0.288173,0.191061,0.12299,0.212133,0.127955,0.0093,0.069264,0.179928,0.246627,0.521537,0.624055,0.326446,0.004859,0.004328,0.003606,0.004638,0.025219,0.126349,0.154491,1,0,0,0,0,0
15,0.577092,0.542679,0.514171,0.42236,0.401963,0.49219,0.506795,0.832089,0.809843,0.770611,0.801826,0.876337,0.847675,0.547171,0.766904,0.838291,0.030061,0.107942,0.173658,0.185409,0.143487,0.028296,0.169907,0.293795,0.300483,0.236227,0.024784,0.0113,0.13195,0.01515,0.210721,0.112082,0.023535,0.260741,0.277016,0.273601,0.194712,0.171879,0.208237,0.121962,0.114808,0.097881,0.175775,0.0,0.213443,0.0,0.0,0.204931,0.366283,0.076235,0.054534,0.039812,0.049428,0.133508,0.085,0.087059,0.056047,0.007292,0.005223,0.015504,0.199944,0.069595,0.030668,0.005256,0.217156,0.278292,0.268854,0.334563,0.0,0.042763,0.0,0.727288,0.518026,0.355464,0.96672,0.753098,0.582584,0.567074,0.525441,0.920905,0.665906,0.585011,0.256606,0.038612,0.08263,1.0,0.74102,0.215156,0.01341,0.007674,0.597829,0.036694,0.085401,0.313417,0.443839,0.087984,0.022897,0.003967,0.003999,0.010731,0.259746,0.266529,0.251707,0.52344,0.245411,0.007965,0.009498,1,0,0,0,1,0
16,0.413918,0.406411,0.35969,0.501146,0.453695,0.606617,0.744998,0.984871,0.829087,0.726285,0.886018,0.7007,0.613764,0.447845,0.486012,0.5614,0.083494,0.084459,0.111686,0.377045,0.370785,0.427667,0.007725,0.005886,0.004725,0.079116,0.001224,0.170205,0.350766,0.314061,0.303586,0.253388,0.28225,0.268491,0.276392,0.384794,0.428265,0.561927,0.537867,0.363381,0.395535,0.454835,0.0,0.415597,0.114335,0.321722,0.39347,0.461241,0.335021,0.401612,0.025915,0.020006,0.059749,0.131939,0.175906,0.12372,0.523286,0.434662,0.185445,0.027853,0.06982,0.295184,0.169827,0.086131,0.243302,0.282318,0.313439,0.314021,0.813115,0.475488,0.88379,0.446726,0.478485,0.938484,0.728518,0.641047,0.602959,0.669384,0.835123,0.824566,0.822318,0.935331,0.027078,0.02941,0.063305,0.663773,0.183144,0.147707,0.207429,0.179233,0.48365,0.001897,0.156717,0.215521,0.145193,0.240482,0.464488,0.605465,0.494019,0.16816,0.218433,0.273447,0.278555,0.218255,0.245346,0.252017,0.353137,1,0,0,0,1,0
17,0.671836,0.762626,0.751798,0.365913,0.39409,0.453136,0.551236,0.965845,0.697035,0.592827,0.61555,0.614811,0.4305,0.228289,0.379726,0.392917,0.058446,0.045521,0.013386,0.011819,0.230597,0.148708,0.066272,0.066226,0.113114,0.253011,0.004849,0.133751,0.319782,0.395886,0.190224,0.235556,0.288846,0.040988,0.044403,0.095967,0.066886,0.055377,0.098237,0.303635,0.385267,0.407387,0.171612,0.369492,0.0,0.056084,0.359115,0.354527,0.143868,0.381742,0.013579,0.004746,0.001289,0.002027,0.003372,0.027196,0.106449,0.069045,0.049487,0.061431,0.190924,0.038704,0.122191,0.11332,0.0,0.0,0.0,0.0,0.725342,0.396091,0.832506,0.290403,0.40601,0.844091,0.632213,0.700394,0.858662,0.806808,0.803073,0.755949,0.786623,0.727892,0.049434,0.086555,0.088807,0.055375,0.64022,0.412969,0.207011,0.15066,0.384951,0.016901,0.132573,0.295202,0.626667,0.422945,0.269109,0.374225,0.250637,0.126859,0.26923,0.137096,0.137109,0.17898,0.333771,0.163273,0.124642,1,0,0,0,0,0
18,0.729327,0.911107,0.90915,0.579909,0.56808,0.255906,0.738169,0.708643,0.647602,0.731291,0.762488,0.670424,0.586498,0.536263,0.666818,0.473228,0.677972,0.369714,0.372246,0.255084,0.354571,0.182876,0.41827,0.442668,0.568254,0.35379,0.548793,0.453993,0.004909,0.005835,0.008595,0.00781,0.013816,0.117064,0.252517,0.25751,0.283992,0.30072,0.286639,0.235857,0.259177,0.164184,0.380466,0.316488,0.413292,0.343285,0.234287,0.062407,0.033868,0.0,0.024107,0.023218,0.053044,0.002319,0.008283,0.018016,0.024064,0.016764,0.029019,0.029962,0.095814,0.026928,0.010671,0.025736,0.089182,0.0,0.218129,0.341944,0.175356,0.501633,0.571379,0.60921,0.621075,0.612073,0.729614,0.72958,0.700606,0.650183,0.518943,0.691772,0.558933,0.448996,0.132397,0.497942,0.576406,0.395717,0.432868,0.341208,0.374724,0.416866,0.640291,0.133562,0.119985,0.008219,0.009473,0.004801,0.012048,0.011099,0.006891,0.009074,0.009163,0.006961,0.008916,0.006462,0.006468,0.004161,0.024184,1,0,0,0,0,0
19,0.523578,0.598857,0.58487,0.519984,0.599055,0.522939,0.503599,0.681986,0.535659,0.541678,0.563295,0.465893,0.472406,0.562433,0.428757,0.61423,0.002292,0.020157,0.106094,0.080302,0.17484,0.165302,0.267863,0.42167,0.228419,0.172382,0.117944,0.111458,0.027226,0.304699,0.306885,0.249155,0.209066,0.107112,0.115919,0.292078,0.351982,0.439623,0.43345,0.559781,0.536914,0.496495,0.709472,0.511962,0.115192,0.304609,0.44607,0.10904,0.11155,0.333903,0.001505,0.010935,0.001747,0.185275,0.149155,0.053636,0.043764,0.021371,0.022847,0.018307,0.049447,0.157548,0.205019,0.073229,0.174964,0.229167,0.25832,0.246265,0.637815,0.678297,0.725208,0.221428,0.410617,0.834709,0.067488,0.205526,0.448716,0.668389,0.831555,0.728619,0.772768,0.778069,0.006195,0.029543,0.004676,0.750331,0.079427,0.054089,0.043566,0.039421,0.083322,0.202522,0.092795,0.064656,0.448691,0.611043,0.343188,0.234834,0.195935,0.115587,0.323851,0.249246,0.18167,0.176449,0.196422,0.175853,0.207744,1,0,0,0,0,0
20,0.505286,0.563804,0.360496,0.552134,0.386902,0.559104,0.873863,0.750048,0.678617,0.951162,0.94018,0.882948,0.853893,0.398881,0.695345,0.832183,0.682039,0.408565,0.235338,0.274127,0.231978,0.224435,0.291262,0.216476,0.069259,0.196821,0.128157,0.13296,0.018746,0.038214,0.474445,0.588586,0.360345,0.319115,0.321043,0.155652,0.258999,0.213615,0.276461,0.279643,0.298813,0.375823,0.28321,0.0,0.163971,0.092099,0.087675,0.335254,0.319239,0.301564,0.066747,0.055401,0.02226,0.017748,0.058224,0.035711,0.085774,0.130292,0.074362,0.026348,0.023806,0.039221,0.01719,0.002774,0.353921,0.0,0.667729,0.0,0.398148,0.168568,0.0,0.404511,0.402196,0.258476,0.557535,0.544462,0.5573,0.556305,0.580627,0.46634,0.628523,0.732477,0.956007,1.0,0.403802,1.0,1.0,1.0,1.0,1.0,0.274435,0.020622,0.267781,0.079535,0.07875,0.087574,0.073989,0.110789,0.103439,0.099081,0.20825,0.211187,0.196346,0.19383,0.130131,0.073152,0.026567,1,0,0,0,0,0
21,0.526703,0.673724,0.694201,0.574226,0.664586,0.585556,0.586891,0.768002,0.652403,0.833779,0.89358,0.527119,0.419659,0.681667,0.742057,0.513606,0.059763,0.015734,0.044514,0.021879,0.10536,0.116364,0.241105,0.283291,0.231568,0.253318,0.046743,0.073104,0.044902,0.166548,0.490298,0.538658,0.028339,0.142373,0.175158,0.222538,0.100069,0.094541,0.143162,0.338615,0.285494,0.266866,0.426763,0.23644,0.442421,0.29653,0.008018,0.422888,0.374746,0.384472,0.009191,0.003078,0.002179,0.010267,0.014746,0.007023,0.153,0.147234,0.144038,0.123105,0.023947,0.025712,0.084209,0.013757,0.0,0.0,0.0,0.00236,0.282676,0.65526,0.368872,0.641148,0.647488,0.373513,0.822766,0.665146,0.598285,0.648674,0.565676,0.677659,0.679706,0.641975,0.084289,0.00818,0.008468,0.130571,1.0,1.0,0.823553,0.419248,0.474766,0.031297,0.030293,0.037906,0.073487,0.031646,0.070891,0.029938,0.124156,0.135843,0.028618,0.225616,0.690483,0.388348,0.08392,0.009599,0.026875,1,0,0,0,0,0
22,0.88856,0.827886,0.78072,0.895712,0.706048,0.615881,0.619126,0.588036,0.721905,0.737291,0.778836,0.796824,0.792555,0.710265,0.804779,0.765333,0.000594,0.001017,0.000565,0.000757,1.5e-05,0.115422,0.116076,0.146109,0.23125,0.554068,0.585918,0.419767,0.062316,0.082795,0.030009,0.022703,0.00796,0.088169,0.078107,0.126303,0.127236,0.125247,0.153251,0.164959,0.190645,0.248025,0.229691,0.369657,0.077339,0.197853,0.348169,0.214849,0.25203,0.306927,0.000359,0.000609,0.000428,0.000334,0.000393,0.028259,0.001875,0.01943,0.049094,0.017202,0.002096,0.007049,0.00026,0.000245,0.313864,0.302849,0.282284,0.260568,0.734847,0.700069,0.790727,0.387234,0.449823,0.62037,0.498893,0.539855,0.559872,0.578077,0.642836,0.58311,0.695484,0.704733,0.000616,0.000101,0.001826,0.001711,0.002386,0.22749,0.080358,0.086658,0.082192,0.074356,0.208687,0.095949,0.075868,0.029468,0.011474,0.020444,0.03316,0.020489,0.006767,0.005959,0.006783,0.018572,0.010047,0.002759,0.005193,1,0,0,0,0,0
