,attr2,attr5,attr7,attr8,attr9,attr14,attr26,attr28,attr29,attr30,attr31,attr32,attr35,attr41,attr43,attr44,attr46,attr47,attr49,attr51,attr52,attr54,attr55,attr57,attr60,attr61,attr64,attr78,attr79,attr80,attr81,attr82,attr85,attr88,attr91,attr94,attr98,attr99,attr100,attr103,attr105,attr110,attr114,attr117,attr120,attr121,attr122,attr123,attr127,attr128,attr133,attr135,attr136,attr137,attr139,attr140,attr141,attr149,attr150,attr151,attr153,attr154,attr155,attr156,attr159,attr160,attr165,attr169,attr171,attr172,attr179,attr181,attr186,attr194,attr196,attr197,attr199,attr200,attr203,attr213,attr214,attr215,attr218,attr219,attr222,attr223,attr228,attr229,attr234,attr246,attr247,attr250,attr252,attr259,attr260,attr263,attr264,attr269,attr272,attr276,attr281,attr282,attr284,attr289,attr290,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
10,0.643401,0.654218,0.6221,0.709978,0.731589,0.712568,0.707954,0.437525,0.098745,0.203283,0.589476,0.620848,0.259891,0.763893,0.0,0.0,0.506749,0.685801,0.095599,0.007324,0.007998,0.008452,0.008249,0.004445,0.00364,0.003626,0.307598,0.499071,0.765214,0.447493,0.612925,0.350492,0.851425,1.0,1.0,0.412368,1.0,0.139479,0.134911,0.140521,0.143567,0.179328,0.247737,0.308944,0.304012,0.240336,0.289657,0.362119,0.299568,0.269122,0.25345,0.336344,0.305487,0.32834,0.286783,0.297407,0.309712,0.000225,0.000248,0.000262,0.000452,0.000209,0.002149,0.001917,0.001694,0.001643,0.020921,0.019325,0.057071,0.014602,0.056434,0.049218,0.03451,0.008816,0.013734,0.180623,0.198951,0.199398,0.162809,0.361749,0.393765,0.467772,0.468856,0.353753,0.567364,0.560767,0.360854,0.358237,0.520833,0.01186,0.008134,0.012204,0.011718,0.013759,0.037593,0.076854,0.198914,0.251727,0.079846,0.18751,0.116349,0.206384,0.271166,0.034962,0.058742,0.057397,1,0,0,0,0,0
11,0.677031,0.584367,0.608737,0.642719,0.728464,0.660909,0.54665,0.195818,0.475972,0.536589,0.586567,0.49718,0.063513,0.855398,0.625418,0.676342,0.643303,0.592737,0.832642,0.218193,0.006928,0.002029,0.001811,0.229305,0.014968,0.002417,0.360171,0.489544,0.580075,0.527827,0.599066,1.0,0.194798,0.100087,0.228896,0.000655,0.158656,0.360782,0.346358,0.186831,0.191502,0.213992,0.382771,0.286852,0.358066,0.356838,0.362723,0.370521,0.349842,0.358457,0.338567,0.38454,0.386982,0.361523,0.350425,0.326173,0.371372,0.027584,0.003414,0.000456,0.000904,0.001655,0.003797,0.023251,0.000719,0.000404,0.020917,0.01142,0.023024,0.00228,0.012976,0.012079,0.001134,0.000861,0.000473,0.565687,0.233192,0.25227,0.270297,0.685621,0.578435,0.394592,0.625089,0.607913,0.579721,0.531915,0.603675,0.534029,0.651883,0.034521,0.223556,0.001325,0.001574,0.000718,0.036534,0.150111,0.272995,0.055898,0.099814,0.019399,0.023722,0.003344,0.040065,0.001173,0.002225,0.062658,1,0,0,0,1,0
12,0.530623,0.804383,0.772013,0.847646,0.858572,0.619333,0.392757,0.424788,0.626259,0.631467,0.570834,0.621876,0.751329,0.757857,0.628461,0.760555,0.806711,0.836731,0.869134,1.0,1.0,0.012452,0.010371,0.038043,0.002108,0.069962,0.325722,0.042999,0.031545,0.047985,0.046661,0.292455,0.459743,0.250936,0.233609,0.317479,0.196427,0.23246,0.240706,0.18471,0.175528,0.197456,0.325409,0.313564,0.223487,0.245751,0.26044,0.322467,0.183613,0.196408,0.351572,0.161523,0.221314,0.28652,0.364731,0.369595,0.359741,0.037158,0.023658,0.001918,0.000925,0.000733,0.008561,0.003312,0.002612,0.035918,0.016195,0.017391,0.038597,0.015925,0.020211,0.01965,0.05124,0.002057,0.004477,0.347359,0.357317,0.321324,0.296395,0.528929,0.569399,0.67626,0.414206,0.480688,0.591104,0.620602,0.415949,0.513342,0.444536,0.052976,0.115117,0.005611,0.006318,0.312535,0.069979,0.306968,0.217061,0.133234,0.071308,0.036294,0.364724,0.206141,0.291247,0.138656,0.108324,0.078818,1,0,0,0,0,0
13,0.475025,0.416746,0.259991,0.488999,0.495573,0.381135,0.586573,0.226464,0.604854,0.655872,0.645896,0.586482,0.527634,0.776209,0.700022,0.763454,0.872633,0.895288,0.809667,0.00488,0.006052,0.008998,0.025813,0.013894,0.02327,0.004404,0.01155,0.029202,0.033973,0.358082,0.410778,0.383699,0.005626,0.505778,0.032193,0.020771,0.033577,0.0,0.0,0.019802,0.140681,0.0,0.0,0.0,0.0,0.006103,0.05633,0.082037,0.0,0.0,0.0,0.0,0.0,0.149311,0.030542,0.083553,0.0,0.003705,0.00429,0.002769,0.011894,0.012802,0.00707,0.003873,0.002736,0.004212,0.013038,0.007169,0.035574,0.02833,0.207371,0.167238,0.16307,0.013306,0.001557,0.0,0.0,0.0,0.0,0.0,0.0,0.049498,0.05731,0.116257,0.781677,0.769935,0.464548,0.49017,0.468239,0.021239,0.021238,0.010887,0.004525,1.0,0.041807,0.103856,0.501213,0.053975,0.262449,0.395576,0.016376,0.016506,0.042678,0.003769,0.006688,0.019112,1,0,0,0,0,0
14,0.805719,0.83348,0.81239,0.627666,0.660032,0.618595,0.735822,0.838363,0.584277,0.592163,0.704618,0.777417,0.679152,0.561049,0.613757,0.647902,0.678801,0.651935,0.566978,0.000348,0.000228,0.014799,0.000677,0.239,0.167184,0.189238,0.039405,0.137762,0.599095,0.5189,0.302308,0.279706,0.029837,0.532803,0.496268,0.010086,0.25407,0.280439,0.283313,0.300878,0.291708,0.302593,0.28535,0.318477,0.407236,0.383532,0.370336,0.374767,0.356262,0.364431,0.466228,0.386742,0.357181,0.330754,0.351564,0.354005,0.367503,0.000192,0.000189,0.000212,0.000265,0.000161,0.007301,0.004764,0.003812,0.008301,0.002819,0.123981,0.057808,0.034726,0.0859,0.053174,0.009135,0.001047,0.004131,0.180444,0.214215,0.227154,0.240707,0.317208,0.343141,0.353473,0.52534,0.460771,0.55796,0.492474,0.74121,0.707976,0.614343,0.002363,0.001489,0.028196,0.002331,0.203544,0.017777,0.102731,0.140425,0.36166,0.155323,0.289142,0.0093,0.069264,0.246627,0.004328,0.003606,0.126349,1,0,0,0,0,0
15,0.643521,0.761781,0.582927,0.577092,0.546772,0.51241,0.537051,0.442084,0.506795,0.686747,0.78844,0.8457,0.784541,0.876337,0.547171,0.585864,0.722383,0.766904,0.838291,0.033519,0.111722,0.173199,0.129783,0.205961,0.185409,0.122252,0.185168,0.196839,0.438002,0.024658,0.024784,0.01011,0.262848,0.01515,0.006405,0.210721,0.017662,0.225761,0.252195,0.197407,0.277016,0.171879,0.121962,0.091811,0.175775,0.077133,0.0,0.0,0.213443,0.311001,0.0,0.366283,0.208615,0.076235,0.010384,0.0,0.037874,0.056852,0.046054,0.039812,0.049428,0.055355,0.133508,0.150171,0.099214,0.087059,0.005223,0.053834,0.199944,0.178229,0.07958,0.059995,0.011262,0.030668,0.005256,0.217156,0.309324,0.268854,0.334563,0.0,0.0,0.0,0.890298,0.388509,0.0,0.0,0.479648,0.438003,0.582584,0.244219,0.256606,0.020311,0.105078,1.0,1.0,0.063224,0.215156,0.872639,0.462685,0.047969,0.313417,0.443839,0.022897,0.266529,0.251707,0.007965,1,0,0,0,1,0
16,0.810571,0.853214,0.71536,0.413918,0.478636,0.444562,0.802701,0.528515,0.744998,0.842893,0.949637,0.970054,0.596997,0.7007,0.447845,0.507833,0.57446,0.486012,0.5614,0.139266,0.171171,0.086674,0.197829,0.156788,0.377045,0.20673,0.447913,0.192012,0.097027,0.004908,0.001224,0.001103,0.297075,0.314061,0.172554,0.303586,0.402588,0.209465,0.251468,0.244506,0.276392,0.561927,0.363381,0.411289,0.0,0.0,0.161187,0.346872,0.114335,0.029561,0.385947,0.335021,0.316756,0.401612,0.400617,0.485748,0.745185,0.038928,0.037149,0.020006,0.059749,0.066847,0.131939,0.117834,0.096163,0.12372,0.185445,0.016634,0.06982,0.022962,0.008751,0.0092,0.038473,0.169827,0.086131,0.243302,0.306584,0.313439,0.314021,0.556148,0.676742,0.849962,0.307904,0.393888,0.676496,0.89476,0.494856,0.497182,0.602959,0.009145,0.027078,0.027701,0.104015,0.227406,0.861969,0.208927,0.147707,0.007955,0.173419,0.008678,0.215521,0.145193,0.464488,0.273447,0.278555,0.252017,1,0,0,0,1,0
17,0.489002,0.567649,0.557698,0.671836,0.712883,0.756359,0.710102,0.419069,0.551236,0.679547,0.783455,0.879118,0.441521,0.614811,0.228289,0.329071,0.415778,0.379726,0.392917,0.048073,0.044731,0.042207,0.044022,0.015868,0.011819,0.014411,0.385175,0.025488,0.023779,0.020984,0.004849,0.007763,0.241663,0.395886,0.208287,0.190224,0.302398,0.088217,0.070151,0.052044,0.044403,0.055377,0.303635,0.429143,0.171612,0.0,0.032613,0.190706,0.0,0.0,0.415267,0.143868,0.170624,0.381742,0.471159,0.554246,0.610576,0.004482,0.008785,0.004746,0.001289,0.002223,0.002027,0.001816,0.002879,0.027196,0.049487,0.30474,0.190924,0.177453,0.046091,0.0103,0.114819,0.122191,0.11332,0.0,0.0,0.0,0.0,0.330605,0.454811,0.621075,0.28621,0.200763,0.736749,0.847725,0.504283,0.517736,0.858662,0.037037,0.049434,0.080538,0.091522,0.114857,0.408937,0.736352,0.412969,0.229581,0.113568,0.078669,0.295202,0.626667,0.269109,0.137096,0.137109,0.163273,1,0,0,0,0,0
18,0.023918,0.605708,0.836468,0.729327,0.732044,0.96322,0.299098,0.08219,0.738169,0.745363,0.746757,0.71339,0.622782,0.670424,0.536263,0.667091,0.672249,0.666818,0.473228,0.159329,0.038464,0.378348,0.320022,0.361678,0.255084,0.135508,0.892408,0.504823,0.584914,0.510544,0.548793,0.490758,0.032489,0.005835,0.033531,0.008595,0.053742,0.298772,0.347442,0.165309,0.252517,0.30072,0.235857,0.237984,0.380466,0.399801,0.427922,0.357366,0.413292,0.400706,0.155295,0.033868,0.009307,0.0,0.0,0.0,0.0,0.010154,0.015702,0.023218,0.053044,0.029582,0.002319,0.004293,0.016792,0.018016,0.029019,0.063953,0.095814,0.19537,0.162474,0.223445,0.007659,0.010671,0.025736,0.089182,0.0,0.218129,0.341944,0.252684,0.069176,0.26135,0.473508,0.562042,0.470903,0.419831,0.6215,0.630312,0.700606,0.196379,0.132397,0.661342,0.432981,0.010072,0.346715,0.270462,0.341208,0.681832,0.682024,0.122054,0.008219,0.009473,0.012048,0.006961,0.008916,0.004161,1,0,0,0,0,0
19,0.837414,0.864978,0.843738,0.523578,0.58425,0.637881,0.515184,0.656725,0.503599,0.592997,0.726119,0.84141,0.546094,0.465893,0.562433,0.622883,0.410785,0.428757,0.61423,0.001149,0.001047,0.002075,0.001675,0.10365,0.080302,0.209256,0.23969,0.077537,0.103035,0.140994,0.117944,0.337307,0.05112,0.304699,0.146867,0.306885,0.318038,0.137599,0.108093,0.105158,0.115919,0.439623,0.559781,0.488669,0.709472,0.539664,0.488909,0.457792,0.115192,0.186152,0.430521,0.11155,0.23083,0.333903,0.452428,0.520706,0.584143,0.000466,0.000497,0.010935,0.001747,0.000559,0.185275,0.148939,0.075824,0.053636,0.022847,0.120474,0.049447,0.021744,0.055524,0.042951,0.189744,0.205019,0.073229,0.174964,0.256587,0.25832,0.246265,0.646404,0.679001,0.666186,0.508208,0.603205,0.707685,0.710648,0.582707,0.720724,0.448716,0.007971,0.006195,0.00763,0.003326,0.233085,1.0,0.051271,0.054089,0.074849,0.089757,0.313901,0.064656,0.448691,0.343188,0.249246,0.18167,0.175853,1,0,0,0,0,0
20,0.095821,0.089302,0.079866,0.505286,0.509939,0.325998,0.641323,0.520397,0.873863,0.878004,0.847298,0.806809,0.613506,0.882948,0.398881,0.44562,0.563315,0.695345,0.832183,0.340641,0.289001,0.195073,0.117305,0.126381,0.274127,0.182596,0.175871,0.103897,0.091517,0.114193,0.128157,0.134264,0.028927,0.038214,0.078608,0.474445,0.161668,0.240823,0.320418,0.310357,0.321043,0.213615,0.279643,0.246722,0.28321,0.155837,0.0,0.034444,0.163971,0.150233,0.115055,0.319239,0.310007,0.301564,0.296283,0.283093,0.391516,0.036746,0.027393,0.055401,0.02226,0.008306,0.017748,0.054783,0.026962,0.035711,0.074362,0.072135,0.023806,0.060644,0.024335,0.025508,0.054272,0.01719,0.002774,0.353921,0.082551,0.667729,0.0,0.358327,0.641897,0.617228,0.5035,0.405093,0.0,0.0,0.392311,0.357745,0.5573,1.0,0.956007,0.880946,0.126646,1.0,0.807774,0.626288,1.0,0.288648,0.085474,0.024902,0.079535,0.07875,0.073989,0.211187,0.196346,0.073152,1,0,0,0,0,0
21,0.364707,0.539963,0.554754,0.526703,0.576694,0.660193,0.665293,0.433667,0.586891,0.815015,0.84265,0.845323,0.493483,0.527119,0.681667,0.701899,0.569989,0.742057,0.513606,0.052554,0.022899,0.010382,0.008739,0.045068,0.021879,0.01516,0.144771,0.204271,0.171862,0.203378,0.046743,0.008725,0.076461,0.166548,0.170749,0.490298,0.059787,0.22251,0.153292,0.110953,0.175158,0.094541,0.338615,0.268148,0.426763,0.399444,0.400171,0.375638,0.442421,0.379787,0.084938,0.374746,0.341735,0.384472,0.347846,0.397565,0.4362,0.003793,0.0067,0.003078,0.002179,0.002372,0.010267,0.01096,0.002695,0.007023,0.144038,0.023786,0.023947,0.164938,0.03132,0.035226,0.034478,0.084209,0.013757,0.0,0.0,0.0,0.00236,0.43296,0.367608,0.345086,0.762961,0.709239,0.596395,0.489186,0.566828,0.531915,0.598285,0.015643,0.084289,0.011326,0.020478,0.029923,0.936023,1.0,1.0,0.125629,0.505665,0.129704,0.037906,0.073487,0.070891,0.225616,0.690483,0.009599,1,0,0,0,0,0
22,0.849349,0.795173,0.730365,0.88856,0.879659,0.752331,0.684949,0.612034,0.619126,0.614335,0.601386,0.499513,0.647682,0.796824,0.710265,0.740438,0.804823,0.804779,0.765333,0.00059,0.000711,0.00109,0.00205,0.000356,0.000757,0.006647,1.6e-05,0.028602,0.075242,0.248763,0.585918,0.314749,0.154388,0.082795,0.007352,0.030009,0.008222,0.101015,0.107085,0.090007,0.078107,0.125247,0.164959,0.33869,0.229691,0.302346,0.342085,0.349643,0.077339,0.098279,0.376584,0.25203,0.275556,0.306927,0.329307,0.28939,0.277085,0.000472,0.000547,0.000609,0.000428,0.00089,0.000334,0.000608,0.002976,0.028259,0.049094,0.022129,0.002096,0.003971,0.058415,0.07633,0.025134,0.00026,0.000245,0.313864,0.290381,0.282284,0.260568,0.398182,0.517434,0.704923,0.461431,0.600868,0.772746,0.766058,0.511227,0.632448,0.559872,0.001921,0.000616,0.001398,0.002159,0.227241,0.001586,0.469257,0.22749,0.083586,0.10704,0.0614,0.095949,0.075868,0.011474,0.005959,0.006783,0.002759,1,0,0,0,0,0
23,0.730214,0.742341,0.649267,0.606941,0.665608,0.581554,0.906546,0.903949,0.425623,0.659072,0.578763,0.585692,0.693677,0.598639,0.161304,0.439353,0.560619,0.542546,0.493673,0.003419,0.002253,0.000582,0.001123,0.012324,0.001449,0.002733,0.114586,0.40568,0.365281,0.338566,0.334198,0.207527,0.383782,0.291348,0.226979,0.267141,0.450812,0.225055,0.251564,0.259266,0.227305,0.205473,0.308567,0.251097,0.317455,0.360034,0.353162,0.362346,0.271502,0.27284,0.437407,0.211427,0.223896,0.206914,0.262318,0.277277,0.321214,0.001053,0.000651,0.000352,0.000432,0.000437,0.000401,0.000426,0.000545,0.000574,0.017702,0.028405,0.002625,0.001563,0.084513,0.096487,0.034699,0.044548,0.029558,0.191761,0.24083,0.242698,0.174651,0.36876,0.351371,0.33538,0.578547,0.449868,0.489857,0.477568,0.43892,0.438216,0.69866,0.010808,0.003487,0.002715,0.009384,0.006564,0.082106,0.086899,0.09188,0.227822,0.020576,0.478933,0.140156,0.474739,0.1971,0.041719,0.061148,0.14623,1,0,0,0,0,0
