,attr1,attr8,attr22,attr28,attr34,attr36,attr38,attr41,attr44,attr49,attr50,attr51,attr57,attr59,attr63,attr70,attr73,attr77,attr78,attr82,attr84,attr85,attr89,attr92,attr93,attr96,attr99,attr102,attr104,attr106,attr111,attr114,attr115,attr126,attr129,attr133,attr135,attr137,attr141,attr145,attr148,attr152,attr154,attr156,attr157,attr159,attr160,attr166,attr167,attr169,attr177,attr182,attr183,attr188,attr191,attr192,attr195,attr204,attr215,attr216,attr217,attr219,attr220,attr227,attr236,attr238,attr244,attr246,attr247,attr250,attr251,attr254,attr256,attr259,attr262,attr264,attr267,attr270,attr274,attr275,attr278,attr280,attr282,attr287,attr288,attr291,attr293,Beach,Sunset,FallFoliage,Field,Mountain,Urban
10,0.619144,0.709978,0.227541,0.437525,0.682204,0.150458,0.644109,0.763893,0.0,0.095599,0.009552,0.007324,0.004445,0.004058,0.003719,0.167699,0.153497,0.756175,0.499071,0.350492,1.0,0.851425,0.538665,0.0,0.183907,0.891956,0.139479,0.13917,0.138333,0.168704,0.176797,0.247737,0.269026,0.360775,0.175062,0.25345,0.336344,0.32834,0.309712,0.382984,0.000308,0.000265,0.000209,0.001917,0.001797,0.001694,0.001643,0.033542,0.015905,0.019325,0.041353,0.034311,0.012398,0.112323,0.005095,0.029044,0.009068,0.268116,0.467772,0.492564,0.431182,0.353753,0.440027,0.335044,0.518664,0.529489,0.640689,0.01186,0.008134,0.012204,0.011508,0.007406,0.006447,0.013759,0.033771,0.198914,0.121324,0.102787,0.055891,0.209664,0.071981,0.125257,0.206384,0.085384,0.001416,0.066941,0.057397,1,0,0,0,0,0
11,0.572007,0.642719,0.53288,0.195818,0.365105,0.635502,0.673179,0.855398,0.676342,0.832642,0.446899,0.218193,0.229305,0.099062,0.001677,0.55341,0.238857,0.212676,0.489544,1.0,0.440826,0.194798,0.174296,0.009276,0.003095,0.003844,0.360782,0.175446,0.198861,0.382922,0.227778,0.382771,0.331975,0.23594,0.37083,0.338567,0.38454,0.361523,0.371372,0.347359,0.009837,0.000466,0.001655,0.023251,0.050114,0.000719,0.000404,0.029332,0.001752,0.01142,0.022538,0.034041,0.002376,0.000957,0.000703,0.000923,0.000572,0.58983,0.394592,0.292148,0.400474,0.607913,0.612554,0.598307,0.491591,0.471361,0.554135,0.034521,0.223556,0.001325,0.001077,0.130688,0.105894,0.000718,0.161117,0.272995,0.043205,0.02251,0.037145,0.025138,0.073856,0.056067,0.003344,0.046696,0.002164,0.001753,0.062658,1,0,0,0,1,0
12,0.572858,0.847646,0.51957,0.424788,0.576113,0.321188,0.684112,0.757857,0.760555,0.869134,0.951331,1.0,0.038043,0.004072,0.175829,0.455297,0.790576,0.796139,0.042999,0.292455,0.257443,0.459743,0.249065,0.687938,0.335887,0.174288,0.23246,0.18986,0.181782,0.238372,0.193599,0.325409,0.303529,0.28443,0.166177,0.351572,0.161523,0.28652,0.359741,0.377261,0.033226,0.001452,0.000733,0.003312,0.002186,0.002612,0.035918,0.026258,0.02327,0.017391,0.00913,0.00545,0.070133,0.001011,0.001859,0.002195,0.002598,0.372573,0.67626,0.741785,0.690878,0.480688,0.509126,0.380685,0.620465,0.631768,0.638194,0.052976,0.115117,0.005611,0.005791,0.007709,0.005211,0.312535,0.207985,0.217061,0.105354,0.053683,0.01223,0.020503,0.14657,0.037947,0.206141,0.072871,0.153352,0.089166,0.078818,1,0,0,0,0,0
13,0.482089,0.488999,0.590208,0.226464,0.58383,0.692749,0.698317,0.776209,0.763454,0.809667,0.006974,0.00488,0.013894,0.022769,0.060662,0.134308,0.013337,0.184813,0.029202,0.383699,0.31348,0.005626,0.318931,0.008377,0.003986,0.01549,0.0,0.0,0.067209,0.0,0.015326,0.0,0.0,0.118571,0.132117,0.0,0.0,0.149311,0.0,0.277297,0.003843,0.004567,0.012802,0.003873,0.006015,0.002736,0.004212,0.01446,0.067791,0.007169,0.179576,0.240577,0.013461,0.061101,0.020146,0.057444,0.001405,0.0,0.049498,0.478559,0.810487,0.116257,0.160858,0.375466,0.470461,0.466985,0.447169,0.021239,0.021238,0.010887,0.009304,0.01489,0.058344,1.0,0.077512,0.501213,0.015452,0.949212,0.17432,0.236324,0.131681,0.227368,0.016506,0.026791,0.007639,0.011945,0.019112,1,0,0,0,0,0
14,0.790277,0.627666,0.652723,0.838363,0.682524,0.65577,0.498606,0.561049,0.647902,0.566978,0.000369,0.000348,0.239,0.214579,0.148201,0.323329,0.069646,0.312169,0.137762,0.279706,0.362309,0.029837,0.691822,0.018653,0.013863,0.072491,0.280439,0.296433,0.295995,0.262661,0.308114,0.28535,0.29406,0.443601,0.39011,0.466228,0.386742,0.330754,0.367503,0.381632,0.000207,0.000711,0.000161,0.004764,0.004658,0.003812,0.008301,0.003223,0.009754,0.123981,0.057564,0.205818,0.000919,0.065518,0.000699,0.000393,0.003147,0.230609,0.353473,0.425434,0.525295,0.460771,0.48213,0.705884,0.640902,0.634494,0.661959,0.002363,0.001489,0.028196,0.00133,0.143344,0.097457,0.203544,0.031272,0.140425,0.365895,0.224945,0.035753,0.173442,0.156891,0.127955,0.069264,0.326446,0.004859,0.004638,0.126349,1,0,0,0,0,0
15,0.629558,0.577092,0.506885,0.442084,0.809843,0.58678,0.801826,0.876337,0.585864,0.838291,0.030061,0.033519,0.205961,0.146126,0.131626,0.005016,0.300483,0.052242,0.196839,0.01011,0.0113,0.262848,0.006967,0.246836,0.282909,0.124063,0.225761,0.258326,0.260741,0.273601,0.208237,0.121962,0.114808,0.054568,0.099918,0.0,0.366283,0.076235,0.037874,0.123237,0.054534,0.048294,0.055355,0.150171,0.085,0.099214,0.087059,0.015504,0.002634,0.053834,0.088298,0.033153,0.067236,0.016022,0.151012,0.067203,0.029793,0.24329,0.0,0.0,0.0,0.388509,0.042763,0.518026,0.539207,0.513375,0.594617,0.244219,0.256606,0.020311,0.08263,1.0,1.0,1.0,0.064347,0.215156,0.161001,0.738097,0.144492,0.279987,0.043531,0.085401,0.443839,0.010731,0.259746,0.52344,0.007965,1,0,0,0,1,0
16,0.806065,0.413918,0.827843,0.528515,0.829087,0.500606,0.886018,0.7007,0.507833,0.5614,0.083494,0.139266,0.156788,0.167265,0.125737,0.213045,0.004725,0.188712,0.192012,0.001103,0.170205,0.297075,0.392503,0.353077,0.337341,0.367443,0.209465,0.25308,0.268491,0.384794,0.537867,0.363381,0.395535,0.397689,0.132099,0.385947,0.335021,0.401612,0.745185,0.542956,0.025915,0.010845,0.066847,0.117834,0.175906,0.096163,0.12372,0.027853,0.072248,0.016634,0.099373,0.080725,0.18689,0.064208,0.381704,0.134993,0.047021,0.101136,0.849962,0.813115,0.810722,0.393888,0.475488,0.478485,0.790123,0.933206,0.947509,0.009145,0.027078,0.027701,0.063305,0.947495,0.327713,0.227406,0.092654,0.147707,0.01588,0.201128,0.22923,0.124173,0.001238,0.156717,0.145193,0.16816,0.218433,0.218255,0.252017,1,0,0,0,1,0
17,0.440256,0.671836,0.433479,0.419069,0.697035,0.488789,0.61555,0.614811,0.329071,0.392917,0.058446,0.048073,0.015868,0.01036,0.037234,0.047925,0.113114,0.106901,0.025488,0.007763,0.133751,0.241663,0.172633,0.499175,0.19216,0.398778,0.088217,0.058333,0.040988,0.095967,0.098237,0.303635,0.385267,0.398038,0.0,0.415267,0.143868,0.381742,0.610576,0.487764,0.013579,0.003079,0.002223,0.001816,0.003372,0.002879,0.027196,0.061431,0.006127,0.30474,0.010732,0.060301,0.314198,0.055259,0.07823,0.072868,0.056941,0.0,0.621075,0.725342,0.727254,0.200763,0.396091,0.40601,0.630603,0.771527,0.794585,0.037037,0.049434,0.080538,0.088807,0.053887,0.060432,0.114857,0.851746,0.412969,0.602098,0.11864,0.150777,0.084115,0.010717,0.132573,0.626667,0.126859,0.26923,0.17898,0.163273,1,0,0,0,0,0
18,0.185638,0.729327,0.104934,0.08219,0.647602,0.644802,0.762488,0.670424,0.667091,0.473228,0.677972,0.159329,0.361678,0.448687,0.00436,0.826484,0.568254,0.215446,0.504823,0.490758,0.453993,0.032489,0.018096,0.048576,0.009887,0.013857,0.298772,0.233752,0.117064,0.25751,0.286639,0.235857,0.259177,0.274616,0.384767,0.155295,0.033868,0.0,0.0,0.0,0.024107,0.059118,0.029582,0.004293,0.008283,0.016792,0.018016,0.029962,0.04035,0.063953,0.047675,0.177667,0.047433,0.014289,0.011808,0.013672,0.005299,0.291846,0.26135,0.175356,0.267456,0.562042,0.501633,0.621075,0.577317,0.489242,0.509472,0.196379,0.132397,0.661342,0.576406,0.251922,0.304119,0.010072,0.31872,0.341208,0.492924,0.892674,0.06385,0.160391,0.055216,0.119985,0.009473,0.009074,0.009163,0.006462,0.004161,1,0,0,0,0,0
19,0.79758,0.523578,0.354442,0.656725,0.535659,0.461314,0.563295,0.465893,0.622883,0.61423,0.002292,0.001149,0.10365,0.129968,0.229881,0.204717,0.228419,0.260763,0.077537,0.337307,0.111458,0.05112,0.37468,0.99048,0.390018,0.329926,0.137599,0.122565,0.107112,0.292078,0.43345,0.559781,0.536914,0.414534,0.193388,0.430521,0.11155,0.333903,0.584143,0.51201,0.001505,0.002148,0.000559,0.148939,0.149155,0.075824,0.053636,0.018307,0.024379,0.120474,0.058494,0.0309,0.107475,0.129174,0.064409,0.085836,0.160596,0.063361,0.666186,0.637815,0.645341,0.603205,0.678297,0.410617,0.769693,0.796296,0.764907,0.007971,0.006195,0.00763,0.004676,0.515738,0.185673,0.233085,0.029786,0.054089,0.181238,0.093991,0.165887,0.270688,0.241955,0.092795,0.448691,0.115587,0.323851,0.176449,0.175853,1,0,0,0,0,0
20,0.294236,0.505286,0.46322,0.520397,0.678617,0.937282,0.94018,0.882948,0.44562,0.832183,0.682039,0.340641,0.126381,0.19564,0.152046,0.183364,0.069259,0.052118,0.103897,0.134264,0.13296,0.028927,0.048608,0.226751,0.331207,0.591991,0.240823,0.224184,0.319115,0.155652,0.276461,0.279643,0.298813,0.000501,0.124472,0.115055,0.319239,0.301564,0.391516,0.40214,0.066747,0.018701,0.008306,0.054783,0.058224,0.026962,0.035711,0.026348,0.034811,0.072135,0.039778,0.027356,0.01867,0.062179,0.00592,0.010904,0.009945,0.870706,0.617228,0.398148,0.028147,0.405093,0.168568,0.402196,0.588243,0.566805,0.673119,1.0,0.956007,0.880946,0.403802,1.0,0.166628,1.0,1.0,1.0,0.239635,0.18326,0.094166,0.049546,0.070758,0.267781,0.07875,0.099081,0.20825,0.19383,0.073152,1,0,0,0,0,0
21,0.260249,0.526703,0.536651,0.433667,0.652403,0.733401,0.89358,0.527119,0.701899,0.513606,0.059763,0.052554,0.045068,0.033868,0.012743,0.231034,0.231568,0.198797,0.204271,0.008725,0.073104,0.076461,0.106565,0.075992,0.253601,0.215761,0.22251,0.077401,0.142373,0.222538,0.143162,0.338615,0.285494,0.253567,0.403738,0.084938,0.374746,0.384472,0.4362,0.403073,0.009191,0.003261,0.002372,0.01096,0.014746,0.002695,0.007023,0.123105,0.12965,0.023786,0.011444,0.106587,0.006333,0.058444,0.069087,0.357837,0.000974,0.033235,0.345086,0.282676,0.285181,0.709239,0.65526,0.647488,0.632694,0.509181,0.666119,0.015643,0.084289,0.011326,0.008468,0.135103,0.065487,0.029923,1.0,1.0,0.087973,0.348594,0.062724,0.093727,0.019732,0.030293,0.073487,0.135843,0.028618,0.388348,0.009599,1,0,0,0,0,0
22,0.856918,0.88856,0.815295,0.612034,0.721905,0.67275,0.778836,0.796824,0.740438,0.765333,0.000594,0.00059,0.000356,0.000761,0.102974,0.218602,0.23125,0.46835,0.028602,0.314749,0.419767,0.154388,0.029934,0.034091,0.032752,0.010206,0.101015,0.096543,0.088169,0.126303,0.153251,0.164959,0.190645,0.350789,0.132606,0.376584,0.25203,0.306927,0.277085,0.308807,0.000359,0.000492,0.00089,0.000608,0.000393,0.002976,0.028259,0.017202,0.00323,0.022129,0.019922,0.102819,0.04622,0.048655,0.001069,0.000784,0.000182,0.34049,0.704923,0.734847,0.765018,0.600868,0.700069,0.449823,0.619386,0.63956,0.704363,0.001921,0.000616,0.001398,0.001826,0.003611,0.002656,0.227241,0.161432,0.22749,0.191212,0.148017,0.01777,0.037663,0.087591,0.208687,0.075868,0.020489,0.006767,0.018572,0.002759,1,0,0,0,0,0
23,0.65495,0.606941,0.741691,0.903949,0.674436,0.156167,0.42238,0.598639,0.439353,0.493673,0.01627,0.003419,0.012324,0.001701,0.013092,0.134967,0.35255,0.1471,0.40568,0.207527,0.512186,0.383782,0.312322,0.572005,0.342039,0.641243,0.225055,0.263025,0.253285,0.204383,0.202956,0.308567,0.268155,0.345844,0.252051,0.437407,0.211427,0.206914,0.321214,0.27334,0.00132,0.000489,0.000437,0.000426,0.00049,0.000545,0.000574,0.01542,0.012161,0.028405,0.06498,0.116085,0.023048,0.039348,0.015593,0.01836,0.03633,0.198571,0.33538,0.309436,0.277878,0.449868,0.427916,0.410639,0.738929,0.612364,0.628187,0.010808,0.003487,0.002715,0.002334,0.005697,0.003434,0.006564,0.07361,0.09188,0.264756,0.030071,0.224326,0.247905,0.190265,0.071073,0.474739,0.35436,0.089175,0.041683,0.14623,1,0,0,0,0,0
24,0.801215,0.806442,0.528469,0.715441,0.794413,0.519965,0.715298,0.821975,0.331223,0.780021,0.001031,0.000839,0.000861,0.000286,0.001057,0.015884,0.227643,0.037039,0.147228,0.016066,0.008958,0.475168,0.020713,0.582653,0.868192,0.043629,0.270137,0.277977,0.267949,0.277428,0.267723,0.313717,0.305075,0.332311,0.384431,0.362209,0.344863,0.388608,0.344513,0.392112,0.000192,0.000214,0.000557,0.000288,0.000208,0.000256,0.00026,0.009799,0.011032,0.007969,0.003899,0.000439,0.03443,0.004308,0.013599,0.009236,0.00327,0.296039,0.318494,0.303833,0.277666,0.508119,0.554862,0.588723,0.620639,0.600454,0.635937,0.001369,0.000834,0.002968,0.003123,0.001597,0.000154,0.001665,0.088075,0.083109,0.036419,0.020009,0.025312,0.026505,0.00457,0.002166,0.033154,0.002881,0.028509,0.004068,0.009132,1,0,0,0,0,0
25,0.811053,0.624405,0.632714,0.766787,0.852183,0.728248,0.839708,0.825167,0.734885,0.81146,0.011881,0.010094,0.111752,0.45067,0.270155,0.132095,0.028556,0.03577,0.11017,0.057552,0.018782,0.027617,0.024122,0.129242,0.104898,0.106585,0.191008,0.182291,0.213813,0.13046,0.450412,0.34692,0.38762,0.516427,0.47692,0.527716,0.490521,0.493608,0.513148,0.477414,0.002422,0.013876,0.005825,0.02158,0.137137,0.127735,0.14389,0.108568,0.085646,0.010927,0.054114,0.002336,0.001447,0.012131,0.008715,0.023472,0.015815,0.195496,0.435252,0.471484,0.564871,0.253903,0.291398,0.545514,0.591586,0.577966,0.579095,0.015837,0.018331,0.034451,0.061424,0.078213,0.274034,0.167894,0.292154,0.286638,0.033003,0.270362,0.270129,0.181719,0.008436,0.002585,0.00505,0.011032,0.015803,0.003398,0.018594,1,0,0,0,0,0
26,0.825514,0.827716,0.641872,0.66412,0.604146,0.59333,0.67794,0.659104,0.656732,0.609676,0.175564,0.125754,0.129464,0.00826,0.017465,0.034634,0.272974,0.186377,0.261471,0.146425,0.066592,0.217781,0.112319,0.129305,0.081237,0.136179,0.283422,0.325391,0.30987,0.291372,0.284506,0.315569,0.319746,0.37085,0.39417,0.348964,0.354883,0.388635,0.360508,0.362277,0.006931,0.002626,0.003273,0.001653,0.00076,0.000336,0.004417,0.009879,0.003847,1.0,1.0,0.000595,0.012335,0.000624,0.005828,0.001065,0.001364,0.463723,0.484903,0.469583,0.449287,0.639851,0.512189,0.490976,0.497831,0.419686,0.436796,0.020992,0.020185,0.00333,0.001919,0.001943,0.001492,0.002186,0.024199,0.010949,0.11595,0.021848,0.065884,0.112428,0.037004,0.004563,0.004101,0.004862,0.01007,0.227656,0.007404,1,0,0,0,0,0
27,0.784773,0.80277,0.660875,0.663902,0.473745,0.645291,0.673815,0.498895,0.65814,0.530513,0.00134,0.001576,0.0,0.000155,0.006204,0.06467,0.01157,0.001953,0.002929,0.144113,0.019353,0.00093,0.059685,0.000267,0.000643,0.082308,0.148052,0.157298,0.154163,0.192483,0.201475,0.212936,0.232449,0.284129,0.337586,0.278361,0.316619,0.342229,0.317682,0.35559,0.001966,0.001275,0.001835,0.000735,0.000455,0.001088,0.000964,0.008755,0.005939,0.032992,0.000408,0.006453,0.000323,0.241926,5.4e-05,0.000573,0.063713,0.268608,0.289654,0.308575,0.313752,0.229223,0.24045,0.422817,0.631553,0.869353,0.887044,0.006423,0.006003,0.003502,0.002538,0.001598,0.002961,0.002874,0.169605,0.103704,0.133326,0.043793,0.014075,0.012658,0.190135,0.263771,0.001834,0.135442,0.001487,0.239048,0.114449,1,0,0,0,0,0
28,0.745834,0.758012,0.754584,0.495949,0.614524,0.829891,0.78568,0.636964,0.754269,0.63292,3.5e-05,0.000166,0.043522,0.052811,0.018669,0.120578,0.117732,0.070444,0.226405,0.011886,0.380011,0.051598,0.020774,0.107513,0.106298,0.029132,0.128909,0.084156,0.065322,0.166914,0.011879,0.391139,0.394136,0.0,0.347394,0.211399,0.437668,0.250055,0.464602,0.221722,0.000568,0.000918,0.001816,0.019769,0.107584,0.027549,0.027707,0.110427,0.146954,0.112004,0.152036,0.275352,0.001978,0.059718,0.036495,0.009439,0.004412,0.352008,0.36876,0.321994,0.305332,0.643105,0.553006,0.651816,0.547359,0.553979,0.548018,0.001975,0.00147,0.002633,0.004543,0.02312,0.002377,0.004329,0.163049,0.073848,0.164505,0.07149,0.203413,0.055815,0.010288,0.267114,0.044887,0.06569,0.043747,0.038255,0.005728,1,0,0,0,0,0
