,attr8,attr9,attr13,attr14,attr22,attr23,attr27,attr30,attr33,attr35,attr36,attr38,attr39,attr40,attr45,attr46,attr50,attr61,attr62,attr63,attr66,attr76,attr86,attr88,attr92,attr94,attr96,attr97,attr99,attr111,attr113,attr114,attr115,attr118,attr119,attr122,attr125,attr128,attr129,attr131,attr132,attr134,attr136,attr137,attr138,attr143,attr145,attr147,attr149,attr150,attr152,attr156,attr157,attr158,attr159,attr161,attr168,attr169,attr170,attr175,attr176,attr179,attr180,attr181,attr190,attr191,attr193,attr195,attr201,attr204,attr206,attr207,attr217,attr218,attr219,attr223,attr225,attr235,attr244,attr246,attr254,attr258,attr259,attr264,attr270,attr271,attr277,attr279,attr280,attr288,attr290,attr293,attr294,Beach,Sunset,FallFoliage,Field,Mountain,Urban
10,0.709978,0.731589,0.728673,0.712568,0.227541,0.507144,0.594928,0.203283,0.669278,0.259891,0.150458,0.644109,0.573888,0.739524,0.024094,0.506749,0.009552,0.003626,0.00351,0.003719,0.245423,0.320261,1.0,1.0,0.0,0.412368,0.891956,0.707102,0.139479,0.176797,0.235645,0.247737,0.269026,0.356289,0.336831,0.289657,0.359348,0.269122,0.175062,0.173402,0.175302,0.31915,0.305487,0.32834,0.323477,0.313326,0.382984,0.318567,0.000225,0.000248,0.000265,0.001917,0.001797,0.001514,0.001694,0.00267,0.011182,0.019325,0.069071,0.021423,0.026344,0.056434,0.063852,0.049218,0.000588,0.005095,0.017224,0.009068,0.187433,0.268116,0.277107,0.279735,0.431182,0.468856,0.353753,0.560767,0.544216,0.549148,0.640689,0.01186,0.007406,0.008074,0.013759,0.198914,0.102787,0.065517,0.158307,0.048715,0.125257,0.001416,0.058742,0.057397,0.043405,1,0,0,0,0,0
11,0.642719,0.728464,0.657658,0.660909,0.53288,0.614942,0.354527,0.536589,0.485181,0.063513,0.635502,0.673179,0.669009,0.863166,0.674769,0.643303,0.446899,0.002417,0.001337,0.001677,0.241521,0.536465,0.005254,0.100087,0.009276,0.000655,0.003844,0.240826,0.360782,0.227778,0.376317,0.382771,0.331975,0.252407,0.249506,0.362723,0.28489,0.358457,0.37083,0.321598,0.315123,0.371166,0.386982,0.361523,0.353669,0.392462,0.347359,0.346708,0.027584,0.003414,0.000466,0.023251,0.050114,0.016091,0.000719,0.000481,0.007245,0.01142,0.006355,0.013458,0.010234,0.012976,0.009345,0.012079,0.000769,0.000703,0.001237,0.000572,0.261395,0.58983,0.507716,0.276212,0.400474,0.625089,0.607913,0.531915,0.620695,0.605833,0.554135,0.034521,0.130688,0.002296,0.000718,0.272995,0.02251,0.014514,0.020277,0.032658,0.056067,0.002164,0.002225,0.062658,0.033016,1,0,0,0,1,0
12,0.847646,0.858572,0.57002,0.619333,0.51957,0.427348,0.519986,0.631467,0.450186,0.751329,0.321188,0.684112,0.721064,0.735945,0.762001,0.806711,0.951331,0.069962,0.645236,0.175829,0.814863,0.77578,0.358845,0.250936,0.687938,0.317479,0.174288,0.18916,0.23246,0.193599,0.34478,0.325409,0.303529,0.327163,0.278721,0.26044,0.30682,0.196408,0.166177,0.208351,0.279846,0.193585,0.221314,0.28652,0.345583,0.365262,0.377261,0.376101,0.037158,0.023658,0.001452,0.003312,0.002186,0.000489,0.002612,0.010534,0.024607,0.017391,0.041366,0.022927,0.011147,0.020211,0.020833,0.01965,0.007841,0.001859,0.001418,0.002598,0.318157,0.372573,0.361749,0.36184,0.690878,0.414206,0.480688,0.620602,0.353181,0.51815,0.638194,0.052976,0.007709,0.341694,0.312535,0.217061,0.053683,0.07628,0.074333,0.085101,0.037947,0.153352,0.108324,0.078818,0.115966,1,0,0,0,0,0
13,0.488999,0.495573,0.427573,0.381135,0.590208,0.64077,0.362919,0.655872,0.538592,0.527634,0.692749,0.698317,0.60275,0.689688,0.818711,0.872633,0.006974,0.004404,0.008219,0.060662,0.022549,0.282021,0.006316,0.505778,0.008377,0.020771,0.01549,0.030224,0.0,0.015326,0.0,0.0,0.0,0.01611,0.03704,0.05633,0.103429,0.0,0.132117,0.245473,0.125538,0.0,0.0,0.149311,0.035114,0.121341,0.277297,0.299853,0.003705,0.00429,0.004567,0.003873,0.006015,0.004914,0.002736,0.019135,0.066575,0.007169,0.027319,0.16258,0.055185,0.207371,0.307772,0.167238,0.010785,0.020146,0.04688,0.001405,0.0,0.0,0.0,0.0,0.810487,0.05731,0.116257,0.769935,0.223817,0.496476,0.447169,0.021239,0.01489,0.007759,1.0,0.501213,0.949212,0.492676,0.227895,0.127353,0.227368,0.007639,0.006688,0.019112,0.031256,1,0,0,0,0,0
14,0.627666,0.660032,0.64595,0.618595,0.652723,0.645519,0.744785,0.592163,0.728188,0.679152,0.65577,0.498606,0.529652,0.571635,0.669073,0.678801,0.000369,0.189238,0.149282,0.148201,0.056379,0.48754,0.157808,0.532803,0.018653,0.010086,0.072491,0.237422,0.280439,0.308114,0.282318,0.28535,0.29406,0.33439,0.352764,0.370336,0.484911,0.364431,0.39011,0.453244,0.427723,0.376667,0.357181,0.330754,0.340864,0.380569,0.381632,0.367888,0.000192,0.000189,0.000711,0.004764,0.004658,0.004043,0.003812,0.010758,0.00823,0.123981,0.107955,0.348171,0.004209,0.0859,0.067536,0.053174,0.000498,0.000699,0.000674,0.003147,0.251923,0.230609,0.300523,0.352064,0.525295,0.52534,0.460771,0.492474,0.618671,0.615238,0.661959,0.002363,0.143344,0.202481,0.203544,0.140425,0.224945,0.12299,0.212133,0.11252,0.127955,0.004859,0.003606,0.126349,0.154491,1,0,0,0,0,0
15,0.577092,0.546772,0.514171,0.51241,0.506885,0.581115,0.49219,0.686747,0.832089,0.784541,0.58678,0.801826,0.863118,0.879793,0.618536,0.722383,0.030061,0.122252,0.104923,0.131626,0.032226,0.131927,0.13195,0.01515,0.246836,0.210721,0.124063,0.023535,0.225761,0.208237,0.141838,0.121962,0.114808,0.084733,0.10535,0.0,0.0,0.311001,0.099918,0.0,0.0,0.204931,0.208615,0.076235,0.045487,0.129691,0.123237,0.070069,0.056852,0.046054,0.048294,0.150171,0.085,0.08209,0.099214,0.129869,0.0015,0.053834,0.154108,0.040974,0.069595,0.07958,0.071559,0.059995,0.0649,0.151012,0.051262,0.029793,0.321949,0.24329,0.0,0.012223,0.0,0.890298,0.388509,0.0,0.88786,0.567074,0.594617,0.244219,1.0,1.0,1.0,0.215156,0.738097,0.597829,0.036694,0.055302,0.085401,0.259746,0.251707,0.007965,0.009498,1,0,0,0,1,0
16,0.413918,0.478636,0.35969,0.444562,0.827843,0.886248,0.606617,0.842893,0.984871,0.596997,0.500606,0.886018,0.839111,0.746937,0.632261,0.57446,0.083494,0.20673,0.216549,0.125737,0.44998,0.172859,0.350766,0.314061,0.353077,0.303586,0.367443,0.28225,0.209465,0.537867,0.290837,0.363381,0.395535,0.409396,0.434012,0.161187,0.408299,0.029561,0.132099,0.348354,0.39347,0.461241,0.316756,0.401612,0.37749,0.473573,0.542956,0.314198,0.038928,0.037149,0.010845,0.117834,0.175906,0.20154,0.096163,0.055226,0.08912,0.016634,0.029518,0.028377,0.295184,0.008751,0.000528,0.0092,0.449233,0.381704,0.11877,0.047021,0.325897,0.101136,0.183608,0.32744,0.810722,0.307904,0.393888,0.89476,0.454967,0.669384,0.947509,0.009145,0.947495,0.301879,0.227406,0.147707,0.201128,0.48365,0.001897,0.555952,0.156717,0.218433,0.278555,0.252017,0.353137,1,0,0,0,1,0
17,0.671836,0.712883,0.751798,0.756359,0.433479,0.558144,0.453136,0.679547,0.965845,0.441521,0.488789,0.61555,0.594721,0.888827,0.450153,0.415778,0.058446,0.014411,0.058064,0.037234,0.14404,0.152186,0.319782,0.395886,0.499175,0.190224,0.398778,0.288846,0.088217,0.098237,0.280165,0.303635,0.385267,0.426433,0.446674,0.032613,0.395384,0.0,0.0,0.330261,0.359115,0.354527,0.170624,0.381742,0.36463,0.527579,0.487764,0.575151,0.004482,0.008785,0.003079,0.001816,0.003372,0.003822,0.002879,0.019327,0.01011,0.30474,0.109619,0.013909,0.038704,0.046091,0.010039,0.0103,0.223032,0.07823,0.092698,0.056941,0.0,0.0,0.053945,0.080739,0.727254,0.28621,0.200763,0.847725,0.208881,0.806808,0.794585,0.037037,0.053887,0.103397,0.114857,0.412969,0.11864,0.384951,0.016901,0.450936,0.132573,0.26923,0.137109,0.163273,0.124642,1,0,0,0,0,0
18,0.729327,0.732044,0.90915,0.96322,0.104934,0.191144,0.255906,0.745363,0.708643,0.622782,0.644802,0.762488,0.745148,0.73784,0.690042,0.672249,0.677972,0.135508,0.130425,0.00436,0.471028,0.501311,0.004909,0.005835,0.048576,0.008595,0.013857,0.013816,0.298772,0.286639,0.281701,0.235857,0.259177,0.170075,0.208032,0.427922,0.338004,0.400706,0.384767,0.262743,0.234287,0.062407,0.009307,0.0,0.0,0.0,0.0,0.0,0.010154,0.015702,0.059118,0.004293,0.008283,0.011014,0.016792,0.001949,0.059403,0.063953,0.11592,0.025756,0.026928,0.162474,0.16398,0.223445,0.007724,0.011808,0.010031,0.005299,0.086006,0.291846,0.307278,0.209631,0.267456,0.473508,0.562042,0.419831,0.614198,0.650183,0.509472,0.196379,0.251922,0.203825,0.010072,0.341208,0.892674,0.640291,0.133562,0.171795,0.119985,0.009163,0.008916,0.004161,0.024184,1,0,0,0,0,0
19,0.523578,0.58425,0.58487,0.637881,0.354442,0.572331,0.522939,0.592997,0.681986,0.546094,0.461314,0.563295,0.58224,0.642166,0.437822,0.410785,0.002292,0.209256,0.177466,0.229881,0.118779,0.235022,0.027226,0.304699,0.99048,0.306885,0.329926,0.209066,0.137599,0.43345,0.438073,0.559781,0.536914,0.463971,0.462812,0.488909,0.498916,0.186152,0.193388,0.438409,0.44607,0.10904,0.23083,0.333903,0.410295,0.354883,0.51201,0.459431,0.000466,0.000497,0.002148,0.148939,0.149155,0.032834,0.075824,0.103031,0.015549,0.120474,0.118365,0.015823,0.157548,0.055524,0.038037,0.042951,0.306398,0.064409,0.076218,0.160596,0.280831,0.063361,0.406401,0.546095,0.645341,0.508208,0.603205,0.710648,0.141002,0.668389,0.764907,0.007971,0.515738,0.109018,0.233085,0.054089,0.093991,0.083322,0.202522,0.127433,0.092795,0.323851,0.18167,0.175853,0.207744,1,0,0,0,0,0
20,0.505286,0.509939,0.360496,0.325998,0.46322,0.722254,0.559104,0.878004,0.750048,0.613506,0.937282,0.94018,0.927701,0.902293,0.486191,0.563315,0.682039,0.182596,0.28263,0.152046,0.303353,0.070168,0.018746,0.038214,0.226751,0.474445,0.591991,0.360345,0.240823,0.276461,0.18393,0.279643,0.298813,0.251036,0.188066,0.0,0.0,0.150233,0.124472,0.074637,0.087675,0.335254,0.310007,0.301564,0.300089,0.423265,0.40214,0.364252,0.036746,0.027393,0.018701,0.054783,0.058224,0.056383,0.026962,0.015577,0.023177,0.072135,0.130938,0.013139,0.039221,0.024335,0.025874,0.025508,0.008621,0.00592,0.014578,0.009945,0.237308,0.870706,0.184481,0.872898,0.028147,0.5035,0.405093,0.0,0.394816,0.556305,0.673119,1.0,1.0,1.0,1.0,1.0,0.18326,0.274435,0.020622,0.202554,0.267781,0.20825,0.196346,0.073152,0.026567,1,0,0,0,0,0
21,0.526703,0.576694,0.694201,0.660193,0.536651,0.727851,0.585556,0.815015,0.768002,0.493483,0.733401,0.89358,0.835453,0.74611,0.653065,0.569989,0.059763,0.01516,0.025128,0.012743,0.102626,0.111498,0.044902,0.166548,0.075992,0.490298,0.215761,0.028339,0.22251,0.143162,0.469314,0.338615,0.285494,0.271481,0.262236,0.400171,0.187771,0.379787,0.403738,0.06238,0.008018,0.422888,0.341735,0.384472,0.323093,0.526632,0.403073,0.407257,0.003793,0.0067,0.003261,0.01096,0.014746,0.000628,0.002695,0.001136,0.12091,0.023786,0.013104,0.563583,0.025712,0.03132,0.040259,0.035226,0.0338,0.069087,0.593309,0.000974,0.0,0.033235,0.0,0.0,0.285181,0.762961,0.709239,0.489186,0.739611,0.648674,0.666119,0.015643,0.135103,0.076532,0.029923,1.0,0.348594,0.474766,0.031297,0.033772,0.030293,0.028618,0.690483,0.009599,0.026875,1,0,0,0,0,0
22,0.88856,0.879659,0.78072,0.752331,0.815295,0.800124,0.615881,0.614335,0.588036,0.647682,0.67275,0.778836,0.795897,0.814891,0.773697,0.804823,0.000594,0.006647,0.065138,0.102974,0.016676,0.428302,0.062316,0.082795,0.034091,0.030009,0.010206,0.00796,0.101015,0.153251,0.159554,0.164959,0.190645,0.358169,0.346214,0.342085,0.39393,0.098279,0.132606,0.260178,0.348169,0.214849,0.275556,0.306927,0.317263,0.301289,0.308807,0.297682,0.000472,0.000547,0.000492,0.000608,0.000393,0.000726,0.002976,0.044481,0.001332,0.022129,0.011105,0.021531,0.007049,0.058415,0.068221,0.07633,0.000846,0.001069,0.000597,0.000182,0.27562,0.34049,0.310409,0.301373,0.765018,0.461431,0.600868,0.766058,0.340993,0.578077,0.704363,0.001921,0.003611,0.137186,0.227241,0.22749,0.148017,0.082192,0.074356,0.106501,0.208687,0.006767,0.006783,0.002759,0.005193,1,0,0,0,0,0
23,0.606941,0.665608,0.637807,0.581554,0.741691,0.828515,0.826175,0.659072,0.687231,0.693677,0.156167,0.42238,0.539857,0.506651,0.495405,0.560619,0.01627,0.002733,0.005169,0.013092,0.139394,0.285876,0.271715,0.291348,0.572005,0.267141,0.641243,0.653275,0.225055,0.202956,0.309726,0.308567,0.268155,0.237942,0.233546,0.353162,0.388683,0.27284,0.252051,0.315123,0.333258,0.308038,0.223896,0.206914,0.20596,0.238793,0.27334,0.267908,0.001053,0.000651,0.000489,0.000426,0.00049,0.000579,0.000545,0.00077,0.010104,0.028405,0.005811,0.00715,0.031989,0.084513,0.067228,0.096487,0.015304,0.015593,0.025716,0.03633,0.235552,0.198571,0.215334,0.211364,0.277878,0.578547,0.449868,0.477568,0.653035,0.752248,0.628187,0.010808,0.005697,0.003893,0.006564,0.09188,0.030071,0.00606,0.157716,0.14018,0.071073,0.089175,0.061148,0.14623,0.144763,1,0,0,0,0,0
24,0.806442,0.822901,0.799631,0.77473,0.528469,0.669043,0.796163,0.573454,0.84417,0.765717,0.519965,0.715298,0.844813,0.851213,0.642345,0.824873,0.001031,0.000307,0.00066,0.001057,0.087465,0.014317,0.879207,0.039584,0.582653,0.426098,0.043629,0.042799,0.270137,0.267723,0.300274,0.313717,0.305075,0.244952,0.23085,0.362407,0.361481,0.348752,0.384431,0.382112,0.372339,0.367318,0.372325,0.388608,0.391934,0.354005,0.392112,0.370089,0.000251,0.000235,0.000214,0.000288,0.000208,0.000198,0.000256,0.000668,0.00909,0.007969,0.0036,0.003782,0.001738,0.000457,0.000376,0.000346,0.006945,0.013599,0.000447,0.00327,0.266338,0.296039,0.297784,0.283145,0.277666,0.534275,0.508119,0.555488,0.579565,0.633812,0.635937,0.001369,0.001597,0.002081,0.001665,0.083109,0.020009,0.00546,0.005279,0.00271,0.002166,0.028509,0.022898,0.009132,0.006574,1,0,0,0,0,0
25,0.624405,0.648362,0.499033,0.554926,0.632714,0.672771,0.726393,0.75025,0.846203,0.795798,0.728248,0.839708,0.841543,0.848697,0.780157,0.859435,0.011881,0.612412,0.538532,0.270155,0.206073,0.125258,0.032535,0.027417,0.129242,0.099249,0.106585,0.057354,0.191008,0.450412,0.276619,0.34692,0.38762,0.510734,0.614897,0.305007,0.483416,0.432455,0.47692,0.480316,0.495089,0.503807,0.479095,0.493608,0.483663,0.512497,0.477414,0.513203,0.001418,0.002628,0.013876,0.02158,0.137137,0.171529,0.127735,0.195999,0.074263,0.010927,0.007298,0.003637,0.070005,0.00533,0.00654,0.003135,0.010953,0.008715,0.003009,0.015815,0.302939,0.195496,0.292203,0.383018,0.564871,0.215971,0.253903,0.522041,0.440586,0.600666,0.579095,0.015837,0.078213,0.256615,0.167894,0.286638,0.270362,0.318371,0.029308,0.006221,0.002585,0.015803,0.020826,0.018594,0.001165,1,0,0,0,0,0
26,0.827716,0.896488,0.914124,0.901028,0.641872,0.490072,0.655258,0.399877,0.657821,0.661318,0.59333,0.67794,0.772264,0.714846,0.635295,0.480391,0.175564,0.000465,0.019615,0.017465,0.142923,0.169196,0.136423,0.228606,0.129305,0.171477,0.136179,0.097547,0.283422,0.284506,0.398868,0.315569,0.319746,0.302661,0.297154,0.476022,0.170014,0.920768,0.39417,0.25537,0.234979,0.345466,0.356536,0.388635,0.357277,0.350309,0.362277,0.344616,0.001168,0.00168,0.002626,0.001653,0.00076,0.000264,0.000336,0.001154,0.003918,1.0,1.0,0.010252,0.91465,0.002691,0.128224,0.110954,0.002938,0.005828,0.011605,0.001364,0.474705,0.463723,0.486268,0.484847,0.449287,0.476024,0.639851,0.521974,0.430813,0.62755,0.436796,0.020992,0.001943,0.001793,0.002186,0.010949,0.021848,0.032233,0.021139,0.144625,0.004563,0.01007,0.007286,0.007404,0.00854,1,0,0,0,0,0
